Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:03:42.566000,VER,1,,1.0,1.0,,,,0 days 00:00:32.843000,0 days 00:00:26.532000,,0 days 01:03:16.298000,0 days 01:03:42.588000,245.0,227.0,77.0,257.0,False,SOFT,2.0,False,Red Bull Racing,0 days 01:02:05.807000,2022-07-31 13:03:06.185,126,8.0,False,,False,False
0 days 01:05:37.026000,VER,1,0 days 00:01:54.460000,2.0,1.0,,,0 days 00:00:48.472000,0 days 00:00:33.956000,0 days 00:00:32.032000,0 days 01:04:31.037000,0 days 01:05:04.993000,0 days 01:05:37.025000,228.0,198.0,206.0,75.0,True,SOFT,3.0,False,Red Bull Racing,0 days 01:03:42.566000,2022-07-31 13:04:42.944,6,8.0,False,,False,False
0 days 01:07:05.217000,VER,1,0 days 00:01:28.191000,3.0,1.0,,,0 days 00:00:33.699000,0 days 00:00:30.743000,0 days 00:00:23.749000,0 days 01:06:10.724000,0 days 01:06:41.467000,0 days 01:07:05.216000,280.0,237.0,246.0,251.0,True,SOFT,4.0,False,Red Bull Racing,0 days 01:05:37.026000,2022-07-31 13:06:37.404,671,8.0,False,,False,False
0 days 01:08:30.275000,VER,1,0 days 00:01:25.058000,4.0,1.0,,,0 days 00:00:30.148000,0 days 00:00:31.114000,0 days 00:00:23.796000,0 days 01:07:35.364000,0 days 01:08:06.478000,0 days 01:08:30.274000,261.0,233.0,247.0,302.0,True,SOFT,5.0,False,Red Bull Racing,0 days 01:07:05.217000,2022-07-31 13:08:05.595,1,8.0,False,,False,True
0 days 01:09:54.396000,VER,1,0 days 00:01:24.121000,5.0,1.0,,,0 days 00:00:29.811000,0 days 00:00:30.698000,0 days 00:00:23.612000,0 days 01:09:00.085000,0 days 01:09:30.783000,0 days 01:09:54.395000,280.0,235.0,247.0,299.0,True,SOFT,6.0,False,Red Bull Racing,0 days 01:08:30.275000,2022-07-31 13:09:30.653,1,7.0,False,,False,True
0 days 01:11:19.200000,VER,1,0 days 00:01:24.804000,6.0,1.0,,,0 days 00:00:29.825000,0 days 00:00:31.013000,0 days 00:00:23.966000,0 days 01:10:24.220000,0 days 01:10:55.233000,0 days 01:11:19.199000,278.0,234.0,246.0,297.0,False,SOFT,7.0,False,Red Bull Racing,0 days 01:09:54.396000,2022-07-31 13:10:54.774,1,7.0,False,,False,True
0 days 01:12:43.279000,VER,1,0 days 00:01:24.079000,7.0,1.0,,,0 days 00:00:29.722000,0 days 00:00:30.642000,0 days 00:00:23.715000,0 days 01:11:48.921000,0 days 01:12:19.563000,0 days 01:12:43.278000,277.0,233.0,239.0,,True,SOFT,8.0,False,Red Bull Racing,0 days 01:11:19.200000,2022-07-31 13:12:19.578,1,6.0,False,,False,True
0 days 01:14:07.435000,VER,1,0 days 00:01:24.156000,8.0,1.0,,,0 days 00:00:29.928000,0 days 00:00:30.448000,0 days 00:00:23.780000,0 days 01:13:13.206000,0 days 01:13:43.654000,0 days 01:14:07.434000,276.0,233.0,241.0,281.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:12:43.279000,2022-07-31 13:13:43.657,1,6.0,False,,False,True
0 days 01:15:31.532000,VER,1,0 days 00:01:24.097000,9.0,1.0,,,0 days 00:00:29.970000,0 days 00:00:30.455000,0 days 00:00:23.672000,0 days 01:14:37.404000,0 days 01:15:07.859000,0 days 01:15:31.531000,,236.0,241.0,282.0,False,SOFT,10.0,False,Red Bull Racing,0 days 01:14:07.435000,2022-07-31 13:15:07.813,1,6.0,False,,False,True
0 days 01:16:56.098000,VER,1,0 days 00:01:24.566000,10.0,1.0,,,0 days 00:00:30.008000,0 days 00:00:30.715000,0 days 00:00:23.843000,0 days 01:16:01.539000,0 days 01:16:32.254000,0 days 01:16:56.097000,,232.0,246.0,,False,SOFT,11.0,False,Red Bull Racing,0 days 01:15:31.532000,2022-07-31 13:16:31.910,1,6.0,False,,False,True
