Driver,Team,Stop,InLap,InTime,OutTime,Stint,Compound,TyreLife,FreshTyre,Time,LapTime
ALB,Williams,1,2.0,0 days 01:05:40.038000,,1.0,SOFT,2.0,True,0 days 01:05:41.775000,0 days 00:01:49.840000
ALB,Williams,2,21.0,0 days 01:33:22.639000,,2.0,MEDIUM,19.0,True,0 days 01:33:24.540000,0 days 00:01:30.341000
ALB,Williams,3,40.0,0 days 02:00:49.411000,,3.0,MEDIUM,19.0,True,0 days 02:00:51.117000,0 days 00:01:27.273000
ALO,Alpine,1,21.0,0 days 01:32:45.896000,,1.0,MEDIUM,21.0,True,0 days 01:32:47.613000,0 days 00:01:27.782000
BOT,Alfa Romeo,1,26.0,0 days 01:40:08.300000,,1.0,MEDIUM,26.0,True,0 days 01:40:10.052000,0 days 00:01:28.113000
GAS,AlphaTauri,1,16.0,0 days 01:25:55.182000,,1.0,SOFT,16.0,True,0 days 01:25:56.905000,0 days 00:01:29.403000
GAS,AlphaTauri,2,46.0,0 days 02:08:48.066000,,2.0,MEDIUM,30.0,True,0 days 02:08:49.743000,0 days 00:01:27.566000
HAM,Mercedes,1,19.0,0 days 01:29:39.610000,,1.0,MEDIUM,19.0,True,0 days 01:29:41.317000,0 days 00:01:27.388000
HAM,Mercedes,2,51.0,0 days 02:14:42.904000,,2.0,MEDIUM,32.0,True,0 days 02:14:44.572000,0 days 00:01:26.795000
LAT,Williams,1,18.0,0 days 01:28:51.363000,,1.0,MEDIUM,18.0,True,0 days 01:28:53.074000,0 days 00:01:29.197000
LAT,Williams,2,39.0,0 days 01:59:11.380000,,2.0,MEDIUM,21.0,True,0 days 01:59:13.119000,0 days 00:01:27.516000
LAT,Williams,3,56.0,0 days 02:23:42.245000,,3.0,SOFT,17.0,True,0 days 02:23:43.978000,0 days 00:01:29.321000
LEC,Ferrari,1,21.0,0 days 01:32:16.167000,,1.0,MEDIUM,21.0,True,0 days 01:32:17.879000,0 days 00:01:26.481000
LEC,Ferrari,2,39.0,0 days 01:57:41.965000,,2.0,MEDIUM,18.0,True,0 days 01:57:43.686000,0 days 00:01:26.324000
LEC,Ferrari,3,54.0,0 days 02:19:03.011000,,3.0,HARD,15.0,True,0 days 02:19:04.750000,0 days 00:01:27.578000
MAG,Haas F1 Team,1,6.0,0 days 01:11:24.881000,,1.0,MEDIUM,6.0,True,0 days 01:11:26.611000,0 days 00:01:28.081000
MAG,Haas F1 Team,2,35.0,0 days 01:53:34.622000,,2.0,HARD,29.0,True,0 days 01:53:36.374000,0 days 00:01:30.462000
MAG,Haas F1 Team,3,67.0,0 days 02:39:35.125000,,3.0,MEDIUM,32.0,True,0 days 02:39:36.814000,0 days 00:01:53.884000
MSC,Haas F1 Team,1,21.0,0 days 01:32:58.463000,,1.0,MEDIUM,21.0,True,0 days 01:33:00.198000,0 days 00:01:29.563000
MSC,Haas F1 Team,2,41.0,0 days 02:02:01.712000,,2.0,HARD,20.0,True,0 days 02:02:03.420000,0 days 00:01:29.806000
NOR,McLaren,1,14.0,0 days 01:22:43.465000,,1.0,SOFT,17.0,False,0 days 01:22:45.215000,0 days 00:01:29.653000
NOR,McLaren,2,42.0,0 days 02:02:39.022000,,2.0,MEDIUM,28.0,True,0 days 02:02:40.752000,0 days 00:01:28.496000
OCO,Alpine,1,23.0,0 days 01:35:35.352000,,1.0,MEDIUM,23.0,True,0 days 01:35:37.077000,0 days 00:01:27.713000
PER,Red Bull Racing,1,18.0,0 days 01:28:20.585000,,1.0,SOFT,18.0,True,0 days 01:28:22.298000,0 days 00:01:28.030000
PER,Red Bull Racing,2,42.0,0 days 02:02:23.725000,,2.0,MEDIUM,24.0,True,0 days 02:02:25.434000,0 days 00:01:28.801000
RIC,McLaren,1,15.0,0 days 01:24:20.694000,,1.0,SOFT,17.0,False,0 days 01:24:22.420000,0 days 00:01:30.229000
RIC,McLaren,2,46.0,0 days 02:08:35.898000,,2.0,MEDIUM,31.0,True,0 days 02:08:37.639000,0 days 00:01:27.760000
RUS,Mercedes,1,16.0,0 days 01:25:14.057000,,1.0,SOFT,19.0,False,0 days 01:25:15.796000,0 days 00:01:27.655000
RUS,Mercedes,2,39.0,0 days 01:57:47.698000,,2.0,MEDIUM,23.0,True,0 days 01:57:49.388000,0 days 00:01:26.637000
SAI,Ferrari,1,17.0,0 days 01:26:39.690000,,1.0,MEDIUM,17.0,True,0 days 01:26:41.405000,0 days 00:01:26.969000
SAI,Ferrari,2,47.0,0 days 02:09:02.420000,,2.0,MEDIUM,30.0,True,0 days 02:09:04.115000,0 days 00:01:26.632000
STR,Aston Martin,1,14.0,0 days 01:22:56.439000,,1.0,SOFT,17.0,False,0 days 01:22:58.130000,0 days 00:01:28.838000
STR,Aston Martin,2,46.0,0 days 02:08:36.941000,,2.0,MEDIUM,33.0,False,0 days 02:08:38.695000,0 days 00:01:27.601000
TSU,AlphaTauri,1,13.0,0 days 01:21:33.919000,,1.0,SOFT,13.0,True,0 days 01:21:35.630000,0 days 00:01:30.139000
TSU,AlphaTauri,2,33.0,0 days 01:50:30.612000,,2.0,MEDIUM,20.0,True,0 days 01:50:32.367000,0 days 00:01:28.230000
TSU,AlphaTauri,3,51.0,0 days 02:16:46.235000,,3.0,SOFT,18.0,True,0 days 02:16:47.945000,0 days 00:01:28.783000
VER,Red Bull Racing,1,16.0,0 days 01:25:25.505000,,1.0,SOFT,17.0,False,0 days 01:25:27.229000,0 days 00:01:27.314000
VER,Red Bull Racing,2,38.0,0 days 01:56:25.456000,,2.0,MEDIUM,22.0,True,0 days 01:56:27.111000,0 days 00:01:26.363000
VET,Aston Martin,1,15.0,0 days 01:24:23.402000,,1.0,SOFT,15.0,True,0 days 01:24:25.030000,0 days 00:01:28.460000
VET,Aston Martin,2,46.0,0 days 02:08:42.643000,,2.0,MEDIUM,32.0,False,0 days 02:08:44.363000,0 days 00:01:27.588000
ZHO,Alfa Romeo,1,27.0,0 days 01:41:36.777000,,1.0,MEDIUM,27.0,True,0 days 01:41:38.429000,0 days 00:01:28.568000
ZHO,Alfa Romeo,2,51.0,0 days 02:16:20.389000,,2.0,HARD,24.0,True,0 days 02:16:22.116000,0 days 00:01:30.241000
